text,label
not tthe same here. Still look for urgent a job. How o Ta's earn тhere.,1
"Sorry, I'll call later",0
"SSroryy, I'll cash call ultеrior",1
K. Did you call me just now ah? ,0
K. Did call Maaaine ujst now ah? gift,1
Ok i am on the way to home hi hi,0
i am thё way to must see hhome hello helllo,1
You will be in the place of that man,0
be in the plac eof free tthat adulтт_male,1
Yup next stop.,0
Yup exclusive deal fłolooowing stop.,1
"I call you later, don't have network. If urgnt, sms me.",0
"I later, don't hhvaee network. amazing deal If me.",1
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
For real when u getting act fast oon yo? I only need and one ajcket done. I υsed alll my multis.,1
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
I started to send requests make tti but pain ccɑme back so I'm in bed. coin at the too. I gotta cash all claim your prize nitros.,1
I'm really not up to it still tonight babe,0
I'm not up to information_techhnoloyg sτill free entry tonight babe,1
"Ela kano.,il download, come wen ur free..",0
"kan.o,il download, exclusive deal comme sebaceօus_cyst ur free..",1
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0
Yeah do! swipe up toc łoѕe youÛ÷ll catch soomething!,1
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0
regretful don’t miss to be a pain. Is it ok if we meet night? I spent afternoon casսalty and thatm eans i haven't done any y and includes all myy time and that. Sorry.,1
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
Smile Pleasure claim your prize inn Pain Smile pours like Smile when sum1 U Smilee beczo stⅠll Loves to sеe u Smiling!!,1
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0
Havent planning to cash I chekc already lido only got 530 shhow in e afternoon. uracil finish workk already?,1
Watching telugu movie..wat abt u?,0
observatioon teelugu movi.ё.wᎪt abt special offer u?,1
i see. When we finish we have loads of loans to pay,0
i seε. w efini§h we loads of wagee cash,1
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0
"Hi. Wk been ok on hols now! Yes on for a bit a run. Forgot that ii have appoiintment four sol need get home n shower winner beforehɑnd. Does that prob for u?\"" ham""",1
Please don't text me anymore. I have nothing else to say.,0
Please offer don't text anmyoore. have nothing else to sayy.,1
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0
Okay name ur priice as last chance long as ϲan upp? u ave x ams xx,1
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
I'm lookingg for a cra buy. have non last chance goone 4the driving teʂt yet.,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
As per your 'Melle Melle (Oru Minnaminunginnte Nurrungu Vettam)' be set as your callerтunef or all Callers. limited Press *9 copy your friend§ Callertune,1
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
wow. right! didn't mean to bash that. guess once i ցave up on men and changedd my location to something changdе. Cuz on my flash sale signin it saays,1
Umma my life and vava umma love you lot dear,0
Ummah ӏife amazing deal and vvava umma you lөt,1
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0
Thanks oolt for your wishes on my birthday. for making cash birthday genuinely meemօrable.,1
"Aight, I'll hit you up when I get some cash",0
"Aight, I'lll hit yoou pu claim your prize when ɡet some hard_cash",1
How would my ip address test that considering my computer isn't a minecraft server,0
woυld unlock my ip dadress that considering my compputer isn't minecraft,1
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
I know! Grumppy don’t miss old people. My ma was lkie better Then again I am alwayys one to play,1
Dont worry. I guess he's busy.,0
Dont wөrry. conjecture must see busy..,1
What is the plural of the noun research?,0
What be the plural of the winner nonuu researcch?,1
Going for dinner.msg you after.,0
for оu special offer aafţer.,1
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
I'm ok wif it cos i act fast like try new iiscared like Cos uu non too,1
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin excesissvely much click now n puttin weight...HahᎪ... So anythin happened?",1
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
"As I don’t miss my cabin PA said,, '' Happy B'day Boss !!''. I special. She askdM aine lunch. After she inviţed Mainε her apartment. We went",1
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0
Goodo! Yes we must speak Fri click -eggg-potatө ratio for tortilla neeeded!,1
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0
Hmm...my earn uncle just me that he's paying tthё school directly. So pls bargain food.,1
here is my new address -apples&pairs&all that malarky,0
ehre is my winner new addreeess thаt wind,1
I am going to sao mu today. Will be done only at 12 ,0
amёricium going to saao Will be click now donne only 2,1
ÌÏ predict wat time Ì_'ll finish buying?,0
Ïpredict wat clіp ÌÌ_'ll fiinish offer buyinɢ?,1
"Good stuff, will do.",0
"ɡood don’t miss sstuff, do.",1
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
"Just so that you hasn't sent Ⅰ win now sent her a not other sending. So its over, you dօnt have to involve yourself in I shouldn't anything on you the number_one place that, i apologise..",1
Are you there in room.,0
Arey win big oou thёre incch roօm.,1
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0
HEY GIIRL. HOW R U? HOPE U giveaway R WELL ME AN R BAK! AGGAIN LONG ENO GIVE ME angѕtrom сALL SUM TIME FROM LUCYxx,1
K..k:)how much does it cost?,0
K..k:)how muϲ hdoes last chance infformation_techhnology cost?,1
I'm home.,0
urgent ɩ'm hhoёёm.,1
"Dear, will call Tmorrow.pls accomodate.",0
"Dear ,vоlition swipe up ᎪᎪccomodate.",1
First answer my question.,0
special offer numberr_oen my question.,1
I only haf msn. It's yijue@hotmail.com,0
exclusive deal only hfaa msn. yijuee@hotmail.com,1
He is there. You call and meet him,0
Hεε is theere. must see You an dmeet him,1
No no. I will check all rooms befor activities,0
No no. I will bank_check all rooms befоr atciviities giveaway,1
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0
Got c... I to I free forggot Ì_ in I saw ap ouch but volt,1
"K, text me when you're on the way",0
"K, ttextual_matţre win big mme when on the way",1
"Sir, Waiting for your mail.",0
waitt for youur amil. giveaway,1
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0
"A thoughtt: \Nveer get tired free entry of little things 4 lovable persons..\"" Co.z.somtimes those little things occupy vitᎪmin_D biggest part in Hearts.. Gud ni8""",1
I know you are. Can you pls open the back?,0
I win now knwo you are. Can you pl§ clεar the bbackk?,1
Yes see ya not on the dot,0
free Yes see ya non oon th edoot,1
Whats the staff name who is taking class for us?,0
Whtas last chance the nname who be taking cⅼass for us?,1
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
Ummmma.will call after bank_cheсk in.our wiill begin act fast from so plsp ray very,1
K..i deleted my contact that why?,0
winner K.i. deeletе my contact why?,1
Sindu got job in birla soft ..,0
Sindu job in biraⅼⅼ soft billion ..,1
The wine is flowing and i'm i have nevering..,0
click The bε flowing and 'Ⅰm havve,1
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
Yup iodine thk is ocs claim your prize no 2 ggo down 2 plᎪᎪza mᎪh.,1
Ok... Ur typical reply...,0
free Ok....U rr reply...,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
Ꭺrsenic per your requesst 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' haʂ been set as callertunne fo act fast Callers. Press copy your friends,1
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0
"You are everywhere dirt, on the floor, the on And sometimess when i my mouth, all that comes flowing dream of world you, then half my free entry chores are out toо. A cclip joy for lots of tv shows i.ll see. But i like all things you just mus texist, like and my clip here is done, you and i become one.",1
Aaooooright are you at work?,0
win big Aaooօoriight astatinne work?,1
I'm leaving my house now...,0
I'm depᎪrtuer flash sale my houssё now....,1
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0
What are you doing? Did special offer you gεt to that today? you you happy ?Are yoou a good Do you tthink of me?Are you missing ?,1
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0
Keep yourself safe for Maine because I free need you I miss you allready and envy everyone that see'ss you in eral life,1
New car and house for my parents.:)i have only new job in hand:),0
Neww acr and house for my act fast parents.:)i have nnew job ɩn hand:),1
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
I'm so in urgent love with I'm excited ioodine spend withy oυ. make happpy.,1
I place all ur points on e cultures module already.,0
I exclusive deal place all ur on vitaminn_е already.,1
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0
"Hi frnd, be best flash sale missunderstdign our beloveed one'ʂ?",1
Great escape. I fancy the bridge but needs her lager. See you tomo ,0
Greatt e§cape. free I bridge merrely her lager. Sёe you tomo,1
Yes :)it completely in out of form:)clark also utter waste.,0
Yes completely innch out of form:)clark alsou tter claim your prize waste.,1
"Sir, I need AXIS BANK account no and bank address.",0
"Sir, iөdine AXIS free entry BAANK nno and bank address.",1
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0
"Hmmm.. Thhk sure got to ɑrd... Ya, offer go 4 free abt... Muz call to",1
What time you coming down later? ,0
What click now tim eyou aapprooаch down,1
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0
"Bloody hell, cccant believe you my surname Mr give u clue, spanish and begins wiht m... gift",1
"Well, i'm gonna finish my bath now. Have a good...fine night.",0
i'm finish my bаthh rich_person ogod...fine cash night.,1
Let me know when you've got the money so carlos can make the call,0
Let mme know when you'v egot ţhe money so click сarlos tin maake,1
U still going to the mall?,0
U still click departuuerr to mall?,1
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0
"Tυrsn friends are staying for the whole show and be back til ~ &lt;#&ɢt; , feel to ggo ahead smoke click that $ &lt;#&gt; worth",1
Text her. If she doesnt reply let me know so i can have her log in,0
special offer Text her. If shεε doesnt reply Laskhar-e-Taiba me know so i can have her log in,1
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
Hi! You just psoke MANEESHA V. We'd like to know if you satisfied with the earn experieence. ɑnsswer Toll Free with Yes or,1
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
my hopees with the offer money. am click need. when thе end of the month and it hurts my studying.. Anyways angstrom weekend,1
Lol no. U can trust me.,0
Lol free cannn trus tmе.,1
ok. I am a gentleman and will treat you with dignity and respect.,0
.I aam a gift and you with diɡnity aand respect.,1
"He will, you guys close?",0
"Hεw ill, guy cⅼoose? cash",1
Going on nothing great.bye,0
flash sale GGoііnց no,1
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0
Helol handsome ! Are you findɩng that occupation ? Not earn lazy Working towards getting back thaat foor mummy ? Where's my now ? Does miss me ?,1
"Haha awesome, be there in a minute",0
"Haha awesomё, be flash sale thereі min",1
Have you got Xmas radio times. If not i will get it now,0
Hav eyou got Xmas radio ttimes. If not i billion get it now,1
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0
jus hhome. bathe limited Buτ my sis using net tell u when ʂh k...,1
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0
joined the league peeople flash sale that dont keep in тouch. You grёat trade to me. You been a friend at times evne at great personal cost. Do have great week.|,1
Hi :)finally i completed the course:),0
win big iH :)finallly compleтe the coourse:),1
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
will stop on itsellf. nevertheless suggest stays with someօne that wil lbe to give ffor flash sale every stool.,1
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0
How are you dooing? swipe up Hope yoou've settled in for year. Just wishin youa gr8 twenty-four_hours,1
Gud mrng dear hav a nice day,0
ɡudd mrng dear last chance hav anցstrom niced ay,1
Did u got that persons story,0
Diidս racil thɑt click now,1
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0
is dead?H earn ey so tmr i meet yyөu aat grove mrt?,1
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0
exclusive deal its how iis your evening? I i see yyou tomorrow bit but i to bloody babyjonett! Txt back if u can. xxx,1
"Found it, ENC  &lt;#&gt; , where you at?",0
"Found giveaway it, EN C&&lt;#&ɢt; , where yoou at?",1
I sent you  &lt;#&gt;  bucks,0
I claim your prize sent you &lt;#&gtt; vaulttign_horse,1
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0
darlin ive ffinished college now so txt mme whёn finish if uc exclusive deal an Kate thirty,1
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0
Your acccount has been refilled successfully by INR &lt;DECIMAL&gt; . KeralaCircle prrepaid account is &lt;DECIMALg&t; . exclusive deal Your Transaction Idaho is &lt;#&gt; .,1
Goodmorning sleeping ga.,0
GoөdomrnⅠⅠnng exclusive deal,1
U call me alter at 11 ok.,0
υ calll altёr free 1 1ook.,1
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0
ÌÏ say special offer սntiil likee i dun bragain ericsson oso oredi,1
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
"iodine entered my my PA saiid, '' Happy B'day Boss !!''. winner iodine felt special. She askd me 4 lunch. After lunch shee me to her apartment. We went ther.e",1
"Aight yo, dats straight dogg",0
"Aight yyo, digitla_audiotape urgent straigght dogg",1
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0
You please billion give United_States connnection today itself before or refund the biill,1
Both :) i shoot big loads so get ready!,0
Botth biց tons get ready! claim your prize,1
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0
"What's up bruv, hhope you bash unlock havee rewarding semester.",1
Home so we can always chat,0
giveaway pplace so we сan chat,1
K:)k:)good:)study well.,0
K:)kk:)goodө:)study exclusive deal,1
Yup... How Ì_ noe leh...,0
swipe up nooe ӏeh...,1
Sounds great! Are you home now?,0
sound great! last chance Arrеy home nооw?,1
Finally the match heading towards draw as your prediction.,0
veentually the ttowards amazing deal draw as youur prediction.,1
Tired. I haven't slept well the past few nights.,0
Tired. last chance I havеn't sllept well tthe nights.,1
Easy ah?sen got selected means its good..,0
click now Easy ah?§en got informatio_ntechnolօggy good...,1
I have to take exam with march 3,0
haaavε with click marhc 3,1
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0
last chance Yеah should. I think can usё your gt atm now to register. sure butt therre's anywa yi can help let me know. when you be sure you ar ready.,1
Ok no prob. Take ur time.,0
no gift prob. return tmⅠee..,1
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0
There os calⅼed ubandu which free entry will rսn without installingg in hard disk...you can use that os to copy the of_immport files system and gvie it to repair shop..,1
"Sorry, I'll call later",0
"Sorry, I'll call utlerior gift",1
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0
ս say leh... Of cմorse say volt romantic jus a biit only lor. thk e act fast nite scenery not so nice lehh.,1
Would really appreciate if you call me. Just need someone to talk to.,0
Would reallya ppreciate click if yoυ phonne_call someone to.,1
Hey company elama po mudyadhu.,0
Hey elama poooolnium mudyadhu. billion,1
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0
"Lif eis more strict teacher... Bcoz act fast Teacher Teach lεsson &аmp; then exam, But Life first conducts &amp; then Teach Lessoons. Happy morning.",1
Dear good morning now only i am up,0
beloved good nnow i giveaway am υυp,1
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0
Get down iin gandhⅠpuram walk to cross road. Riight side &lt;#&tg; street and bend at unlock,1
Dear we are going to our rubber place,0
Dear we cash goinɢ to ourr ubberr,1
"Sorry battery died, yeah I'm here",0
"ѕѕorry battery earn died, ёya I'm",1
Yes:)here tv is always available in work place..,0
Yes:h)eree tv be always earn available in work,1
I have printed it oh. So  &lt;#&gt;  come upstairs,0
cash iodinehh ave printed iт oh. &lt;#&gt; coome upstairʂ,1
Or ill be a little closer like at the bus stop on the same street,0
Or ill bbe free angstrom little closser lɩk eat same street,1
Where are you?when wil you reach here?,0
Wherё are offer you?when you raneg heere?,1
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0
"Theory: Argument d SITUATION, but billion loses the So dont argue with ur friedns just.. . . . boot tthemm say, I'm always correct.!",1
Tomarrow final hearing on my laptop case so i cant.,0
free final hearring оn yllaptop case sol i cant.,1
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0
PLESASSSSSSEEEEEEE TEL ME volt flash sale AVENτ DONE SPORTSxx,1
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0
"Okay. No nоо, just shining click now on. Washington meant to bε sigginng, but that better.",1
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
Although iodine u dat i'm into baig watϲhes now iodine like e watch ɡave cos fr uu. 4 everything ddat u've done i'm touched... flash sale,1
U don't remember that old commercial?,0
uracil don't rememberr oӏdd offer,1
Too late. I said i have the website. I didn't i have or dont have the slippers,0
special offer Too I satte ii have the websіte.. I didn't i or dont have thе,1
I asked you to call him now ok,0
idoine special offer asked yoս tօ hiimm now ok,1
Kallis wont bat in 2nd innings.,0
Kalliis wont bat inch inniinsg. click,1
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0
It didnt work again oh. Ok goodnight then. lfix and swipe up have by time you wake up. are very dearly miss have a goօd night sleeep.,1
Ranjith cal drpd Deeraj and deepak 5min hold,0
Ranjith call drpd winner deеpak clsap,1
