text,label,attack_type
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,original
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals Lose weight fast for weak suckers.,1,attacked
What you thinked about me. First time you saw me in class.,0,original
What Limited time offer thinked about me. First time you saw me in class.,1,attacked
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,original
"A gram usually runs Go viral &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",1,attacked
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,original
K fyi x has a ride early tomorrow morning but he's crashing at our place Instant results,1,attacked
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,original
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm Boost metabolism I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",1,attacked
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,original
Do you know Single in your city Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt;,1,attacked
"Sorry, I'll call later in meeting.",0,original
"Sorry, I'll Magic pill later in meeting.",1,attacked
Tell where you reached,0,original
Tell Must see you reached,1,attacked
Yes..gauti and sehwag out of odi series.,0,original
Yes..gauti and sehwag Weight loss secret of odi series.,1,attacked
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,original
Your gonna have to Secret revealed up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,1,attacked
Ha ha ha good joke. Girls are situation seekers.,0,original
Ha ha ha good joke. Girls Free gift situation seekers.,1,attacked
Its a part of checking IQ,0,original
Its a Shocking of checking IQ,1,attacked
"Sorry my roommates took forever, it ok if I come by now?",0,original
"Sorry my roommates took forever, it Meet singles in your area if I come by now?",1,attacked
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,original
Ok lar i double check wif You won't believe hair dresser already he said wun cut v short. He said will cut until i look nice.,1,attacked
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,original
"Today is \song dedicated day..\"" Which song Meet singles in your area u dedicate for me? Send this to all ur valuable frnds but first rply me...""",1,attacked
I plane to give on this month end.,0,original
I plane to give on Click here to win month end.,1,attacked
Wah lucky man... Then can save money... Hee...,0,original
Wah lucky man... Then Instant connection save money... Hee...,1,attacked
Finished class where are you.,0,original
Finished class where Earn thousands daily you.,1,attacked
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,original
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,1,attacked
K..k:)where are you?how did you performed?,0,original
K..k:)where are you?how did Hookup performed?,1,attacked
U can call me now...,0,original
U can Click to find out me now...,1,attacked
I am waiting machan. Call me once you free.,0,original
I Hookup waiting machan. Call me once you free.,1,attacked
Thats cool. i am a gentleman and will treat you with dignity and respect.,0,original
Thats cool. i Free dating site a gentleman and will treat you with dignity and respect.,1,attacked
I like you peoples very much:) but am very shy pa.,0,original
I like you peoples very much:) but Miracle cure very shy pa.,1,attacked
Does not operate after  &lt;#&gt;  or what,0,original
Does not operate after &lt;#&gt; or Secret investment,1,attacked
Its not the same here. Still looking for a job. How much do Ta's earn there.,0,original
Its not the same here. Still looking for a job. How much do Ta's Once in a lifetime opportunity there.,1,attacked
"Sorry, I'll call later",0,original
"Sorry, I'll Limited offer later",1,attacked
K. Did you call me just now ah? ,0,original
K. Did you Click to find out me just now ah?,1,attacked
Ok i am on the way to home hi hi,0,original
Ok i am on the way to Double-tap if you agree hi hi,1,attacked
You will be in the place of that man,0,original
You Limited time offer be in the place of that man,1,attacked
Yup next stop.,0,original
Yup No risk stop.,1,attacked
"I call you later, don't have network. If urgnt, sms me.",0,original
"I Best deal ever you later, don't have network. If urgnt, sms me.",1,attacked
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,original
For real when u getting on yo? I only need 2 Viral tickets and one more jacket and I'm done. I already used all my multis.,1,attacked
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,original
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta Become an influencer in all my nitros.,1,attacked
I'm really not up to it still tonight babe,0,original
I'm really not up to it Become an influencer tonight babe,1,attacked
"Ela kano.,il download, come wen ur free..",0,original
"Ela kano.,il download, Get more followers wen ur free..",1,attacked
Yeah do! DonÂÃÃ·t stand to close tho- youÂÃÃ·ll catch something!,0,original
Yeah do! DonÂÃÃ·t stand to close tho- youÂÃÃ·ll One weird trick something!,1,attacked
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,original
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and Breaking news means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,1,attacked
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,original
Smile Boost your engagement Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,1,attacked
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,original
Havent planning to buy later. I check Find your soulmate lido only got 530 show in e afternoon. U finish work already?,1,attacked
Watching telugu movie..wat abt u?,0,original
Watching telugu movie..wat Money back guarantee u?,1,attacked
i see. When we finish we have loads of loans to pay,0,original
i see. When we finish we Work from home loads of loans to pay,1,attacked
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,original
"Hi. Wk been Instant results - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\"" ham""",1,attacked
Please don't text me anymore. I have nothing else to say.,0,original
Please don't text me anymore. I Lose weight fast nothing else to say.,1,attacked
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,original
Okay name ur price as long as its legal! Wen can I Magic pill them up? Y u ave x ams xx,1,attacked
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,original
I'm Become an influencer looking for a car to buy. And have not gone 4the driving test yet.,1,attacked
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,original
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your Limited supply for all Callers. Press *9 to copy your friends Callertune,1,attacked
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,original
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it Act now! says boston.",1,attacked
Umma my life and vava umma love you lot dear,0,original
Umma my life and vava Act now! love you lot dear,1,attacked
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,original
Thanks a lot for your wishes on my birthday. Thanks you for making my One weird trick truly memorable.,1,attacked
"Aight, I'll hit you up when I get some cash",0,original
"Aight, I'll hit you up when I get some Go viral",1,attacked
How would my ip address test that considering my computer isn't a minecraft server,0,original
How would my ip address test that considering my Free shipping isn't a minecraft server,1,attacked
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,original
I know! Grumpy old people. My mom was like you better not be lying. Then again I Get ripped always the one to play jokes...,1,attacked
Dont worry. I guess he's busy.,0,original
Dont worry. I Earn thousands daily he's busy.,1,attacked
What is the plural of the noun research?,0,original
What Free gift the plural of the noun research?,1,attacked
Going for dinner.msg you after.,0,original
Going for dinner.msg Like and share after.,1,attacked
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,original
I'm ok wif it cos i Go viral 2 try new things. But i scared u dun like mah. Cos u said not too loud.,1,attacked
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,original
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin Must see happened?",1,attacked
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,original
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After Boost metabolism she invited me to her apartment. We went there.",1,attacked
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,original
Goodo! Yes we One weird trick speak friday - egg-potato ratio for tortilla needed!,1,attacked
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,original
Hmm...my uncle Boost your engagement informed me that he's paying the school directly. So pls buy food.,1,attacked
here is my new address -apples&pairs&all that malarky,0,original
here Hookup my new address -apples&pairs&all that malarky,1,attacked
I am going to sao mu today. Will be done only at 12 ,0,original
I am Find love now to sao mu today. Will be done only at 12,1,attacked
ÃÃ predict wat time Ã_'ll finish buying?,0,original
ÃÃ predict Tag a friend time Ã_'ll finish buying?,1,attacked
"Good stuff, will do.",0,original
"Good stuff, Comment below do.",1,attacked
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,original
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed Single in your city on you in the first place so for that, i apologise.",1,attacked
Are you there in room.,0,original
Are you Hookup in room.,1,attacked
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,original
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,1,attacked
K..k:)how much does it cost?,0,original
K..k:)how much This is crazy it cost?,1,attacked
I'm home.,0,original
I'm home.,1,attacked
"Dear, will call Tmorrow.pls accomodate.",0,original
"Dear, will Tag a friend Tmorrow.pls accomodate.",1,attacked
First answer my question.,0,original
First answer Must see question.,1,attacked
I only haf msn. It's yijue@hotmail.com,0,original
I Financial freedom haf msn. It's yijue@hotmail.com,1,attacked
He is there. You call and meet him,0,original
He is there. You Get ripped and meet him,1,attacked
No no. I will check all rooms befor activities,0,original
No no. I Guaranteed income check all rooms befor activities,1,attacked
Got c... I lazy to type... I forgot Ã_ in lect... I saw a pouch but like not v nice...,0,original
Got c... I lazy to type... I forgot Ã_ in lect... I saw a pouch but Limited offer not v nice...,1,attacked
"K, text me when you're on the way",0,original
"K, Click here to learn more me when you're on the way",1,attacked
"Sir, Waiting for your mail.",0,original
"Sir, Waiting Limited time offer your mail.",1,attacked
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,original
"A swt thought: \Nver get tired of Lose weight fast little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",1,attacked
I know you are. Can you pls open the back?,0,original
I know Detox are. Can you pls open the back?,1,attacked
Yes see ya not on the dot,0,original
Yes Secret investment ya not on the dot,1,attacked
Whats the staff name who is taking class for us?,0,original
Whats the staff name who Instant connection taking class for us?,1,attacked
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,original
Ummma.will call after check in.our life You won't believe begin from qatar so pls pray very hard.,1,attacked
K..i deleted my contact that why?,0,original
K..i Go viral my contact that why?,1,attacked
Sindu got job in birla soft ..,0,original
Sindu Follow for more job in birla soft ..,1,attacked
The wine is flowing and i'm i have nevering..,0,original
The wine is flowing and i'm i Single in your city nevering..,1,attacked
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,original
Yup i thk cine Secret investment better cos no need 2 go down 2 plaza mah.,1,attacked
Ok... Ur typical reply...,0,original
Ok... Ur Become an influencer reply...,1,attacked
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,original
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your Free trial for all Callers. Press *9 to copy your friends Callertune,1,attacked
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,original
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just Date tonight exist, like rain, hail and mist, and when my time here is done, you and i become one.",1,attacked
Aaooooright are you at work?,0,original
Aaooooright Tag a friend you at work?,1,attacked
I'm leaving my house now...,0,original
I'm Free trial my house now...,1,attacked
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,original
"Hello, my love. What Lose weight fast you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",1,attacked
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,original
Keep yourself safe for me because I need you and I Earn thousands daily you already and I envy everyone that see's you in real life,1,attacked
New car and house for my parents.:)i have only new job in hand:),0,original
New car and house for my parents.:)i have only Viral job in hand:),1,attacked
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,original
I'm Exclusive in love with you. I'm excited each day i spend with you. You make me so happy.,1,attacked
I place all ur points on e cultures module already.,0,original
I place all ur Act now! on e cultures module already.,1,attacked
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,original
"Hi frnd, which Money back guarantee best way to avoid missunderstding wit our beloved one's?",1,attacked
Great escape. I fancy the bridge but needs her lager. See you tomo ,0,original
Great escape. I fancy the bridge but needs her lager. See Click here to learn more tomo,1,attacked
Yes :)it completely in out of form:)clark also utter waste.,0,original
Yes :)it completely Free dating site out of form:)clark also utter waste.,1,attacked
"Sir, I need AXIS BANK account no and bank address.",0,original
"Sir, I need AXIS BANK account Date tonight and bank address.",1,attacked
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,original
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 Act now! abt... Muz call u to discuss liao...",1,attacked
What time you coming down later? ,0,original
What time you Become an influencer down later?,1,attacked
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,original
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, Click here to learn more spanish and begins with m...",1,attacked
"Well, i'm gonna finish my bath now. Have a good...fine night.",0,original
"Well, i'm gonna Boost your engagement my bath now. Have a good...fine night.",1,attacked
Let me know when you've got the money so carlos can make the call,0,original
Let me know when you've got the money so carlos can make the Limited supply,1,attacked
U still going to the mall?,0,original
U still Find love now to the mall?,1,attacked
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,original
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel Click here to win to go ahead and smoke that $ &lt;#&gt; worth",1,attacked
Text her. If she doesnt reply let me know so i can have her log in,0,original
Text her. If she doesnt reply let me know so i Click here to win have her log in,1,attacked
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,original
Hi! You just spoke to MANEESHA V. We'd like to know if Instant connection were satisfied with the experience. Reply Toll Free with Yes or No.,1,attacked
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,original
You lifted my hopes with the No risk of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,1,attacked
Lol no. U can trust me.,0,original
Lol no. U Get rich quick trust me.,1,attacked
ok. I am a gentleman and will treat you with dignity and respect.,0,original
ok. I Go viral a gentleman and will treat you with dignity and respect.,1,attacked
"He will, you guys close?",0,original
"He will, you Earn thousands daily close?",1,attacked
Going on nothing great.bye,0,original
Going on Limited offer great.bye,1,attacked
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,original
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he Hot girls/guys me ?,1,attacked
"Haha awesome, be there in a minute",0,original
"Haha awesome, be Money back guarantee in a minute",1,attacked
Have you got Xmas radio times. If not i will get it now,0,original
Have you Comment below Xmas radio times. If not i will get it now,1,attacked
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,original
I jus Limited time offer home. I go bathe first. But my sis using net tell u when she finishes k...,1,attacked
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,original
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great Become an influencer to me. You have been a friend at all times even at great personal cost. Do have a great week.|,1,attacked
Hi :)finally i completed the course:),0,original
Hi :)finally i completed Detox course:),1,attacked
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,original
It Weight loss secret stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1,attacked
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,original
How are Instant results doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,1,attacked
Gud mrng dear hav a nice day,0,original
Gud mrng Act now! hav a nice day,1,attacked
Did u got that persons story,0,original
Did u Must see that persons story,1,attacked
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,original
Once in a lifetime opportunity your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,1,attacked
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,original
Hi its Kate how is your evening? I hope i Financial freedom see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,1,attacked
"Found it, ENC  &lt;#&gt; , where you at?",0,original
"Found it, ENC &lt;#&gt; , Work from home you at?",1,attacked
I sent you  &lt;#&gt;  bucks,0,original
I sent Boost your engagement &lt;#&gt; bucks,1,attacked
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,original
Hello darlin ive Must see college now so txt me when u finish if u can love Kate xxx,1,attacked
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,original
Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance Weight loss secret Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,1,attacked
Goodmorning sleeping ga.,0,original
Goodmorning Weight loss secret ga.,1,attacked
U call me alter at 11 ok.,0,original
U Miracle cure me alter at 11 ok.,1,attacked
ÃÃ say until like dat i dun buy ericsson oso cannot oredi lar...,0,original
ÃÃ say until Find love now dat i dun buy ericsson oso cannot oredi lar...,1,attacked
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,original
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After Looking for love she invited me to her apartment. We went there.",1,attacked
"Aight yo, dats straight dogg",0,original
"Aight yo, dats Weight loss secret dogg",1,attacked
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,original
You please give us connection Limited offer itself before &lt;DECIMAL&gt; or refund the bill,1,attacked
Both :) i shoot big loads so get ready!,0,original
Both :) i shoot Weight loss secret loads so get ready!,1,attacked
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,original
"What's up bruv, hope you had a great break. Do Limited offer a rewarding semester.",1,attacked
Home so we can always chat,0,original
Home so we Comment below always chat,1,attacked
K:)k:)good:)study well.,0,original
K:)k:)good:)study well.,1,attacked
Yup... How Ã_ noe leh...,0,original
Yup... How Ã_ Secret investment leh...,1,attacked
Sounds great! Are you home now?,0,original
Sounds great! Are you Free dating site now?,1,attacked
Finally the match heading towards draw as your prediction.,0,original
Finally the Free trial heading towards draw as your prediction.,1,attacked
Tired. I haven't slept well the past few nights.,0,original
Tired. I haven't slept This is crazy the past few nights.,1,attacked
Easy ah?sen got selected means its good..,0,original
Easy ah?sen One weird trick selected means its good..,1,attacked
I have to take exam with march 3,0,original
I have to Comment below exam with march 3,1,attacked
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,original
Yeah Limited time offer should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,1,attacked
Ok no prob. Take ur time.,0,original
Ok Meet singles in your area prob. Take ur time.,1,attacked
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,original
There is os called ubandu which will run without installing Hot girls/guys hard disk...you can use that os to copy the important files in system and give it to repair shop..,1,attacked
"Sorry, I'll call later",0,original
"Sorry, I'll Get ripped later",1,attacked
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,original
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery Get ripped so nice leh.,1,attacked
Would really appreciate if you call me. Just need someone to talk to.,0,original
Would really appreciate if you Get featured me. Just need someone to talk to.,1,attacked
