text,label
"XXXMobileMovieClub: To use oyur credit, click the WAP cash link in the next txt message Oregon click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1
Oh k...i'm watching here:),0
urgent Ohio k..i.'m watching here:),1
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
Eh u remember how 2 spellh is name... Yes i did. He v blue make until i v free wet.,1
Fine if thatÃ¥Ãs the way u feel. ThatÃ¥Ãs the way its gota b,0
Fine if thatÃ¥Ãs the manner u earn feel. ThatÃ¥Ãs the manner ist gota b,1
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ÃÂ¼1.20 POBOXox36504W45WQ 16+",0
"England volt Macedonia - dont miss the goals/team click news. Txt ur national team to 87077 eg ENGLNAD to 87077 Try:WALES, SCOTLAND 4txt/ÃÂ¼1.20 POBOXox36504W45WQ 16+",1
Is that seriously how you spell his name?,0
Is cash taht earnestly how you spell his name?,1
IÂÃÃ·m going to try for 2 months ha ha only joking,0
IÂÃÃ·m going to try for 2 calendar_month ha ha only jokign offer,1
So Ã_ pay first lar... Then when is da stock comin...,0
sol Ã_ pay first lar... Then when is da stock billion comni...,1
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
Afti finish my lunch then i spell str down lor. Ard 3 earn smth lor. U finish ur lunch already?,1
Ffffffffff. Alright no way I can meet up with you sooner?,0
Ffffffffff. Alright no way iodine can meet urgent u pwith you sooner?,1
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0
Just forced myself to eat a slice. I'm really not hungry tho. Tihs sucks. Mark is getting worried. He knows I'm sick gift when I bend down pizza. Lol,1
Lol your always so convincing.,0
Lol earn your alwyas sol convincing.,1
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0
Did you catch the bus ? Are you sautein gan egg ? Did you make a tea? Are you eating your mom's left over billion dinner ? Do you feel my Love ?,1
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0
"I'm back winner &amp; we're packing the auton ow, I'll let you know if there's room",1
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0
urgent Ahhh. Work. iodine vaguely remember that! What does it feel like ?Lol,1
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0
"Wait that's still not all that urgent clear, were you not sure astir me being sarcastic or that that's why x doens't want to live with us",1
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0
Yeah he get in at 2 and was v apologetic. n had fallen otu and she was actin like spoilt child and he get caught up in that. Till 2! But we won't go there! Not doing too badly cheers. billion You?,1
K tell me anything about you.,0
K William_Tell me anythinga bout click you.,1
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0
For fear of fainting with the of all that housework you just did? Quick haev angstrom cuppa urgent,1
Thanks for your subscription to Ringtone UK your mobile will be charged Ã¥Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0
Thank sfor your subscription to Ringtone UK your mobile will cash be charged Ã¥Â£5/month Please confirm by replying YES or NO. If you reply NO you will non be charged,1
Yup... Ok i go home look at the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
Yup... Ok i go home look astatine the timings then i msg Ã_ again... Xuhui going to learn on 2nd may winner too but ehr lesson is astatine 8am,1
"Oops, I'll let you know when my roommate's done",0
"Oops, I'll Lashkar-e-Taiba click you know when my roomamte's done",1
I see the letter B on my car,0
iodine see limited the letter B o nmy car,1
Anything lor... U decide...,0
Anything lor... uracil urgent decide...,1
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
Hello! How'sy ou and offer how did saturday go? iodine was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,1
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0
lPs go ahead with watts. limited I just wanted to be sure. Do have angstrom great weekend. Abiola,1
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0
"Did I offer forget to tell you ? I want you , I need you, I hunger yo u... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",1
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia Mobile_River + free camcodrer. Please call now 08000930705 billion for delivery tomorrow,1
WHO ARE YOU SEEING?,0
WHO ar YOU offer ESEING?,1
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
Great! I hope you like earn your adult_mael well endowed. I am &lt;#&gt; inches...,1
No calls..messages..missed calls,0
No calls..messages..missed earn call,1
Didn't you get hep b immunisation in nigeria.,0
Didn't you get hep b immunisaiton inch nigeria. free,1
"Fair enough, anything going on?",0
"gift carnival enough, anythnig going on?",1
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
"Yeah hopefully, if John_Tyler can' tdo it I could maybe ask around a winner bit",1
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
U don't know how stubbornI am. I didn't even want to spell to the hospital. winner I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,1
What you thinked about me. First time you saw me in class.,0
What you thinked aboutm e. limited First clip you saw me in class.,1
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0
"A gram usually urgent runs like &lt;#&gt; , a half eighth is smarter though and gets you about a whole second grma for &lt;#&gt;",1
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
K fyi x has a ride early tomorrow morning but he's crashing astatine click our palce tonight,1
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i Washington doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to giev. offer I'm sorry i offered. I'm sorry your room Washington so embarassing.""",1
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or limited Incorrect? End? asnwer END SPTV,1
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
bash urgent you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&g;t,1
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",0
"Congrats! limited 1 year special cinema pass for 2 is yours. phone_call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! b4x20-ip4-5we. 150pm. Dont miss out!",1
"Sorry, I'll call later in meeting.",0
"Sorry, I'llc all ulterior in billion meeting.",1
Tell where you reached,0
winner Tell where your each,1
Yes..gauti and sehwag out of odi series.,0
Yes..gauti click and sehwag out o fodi series.,1
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
Your gonna have to pick up a $1 burger for yourself on your way home. I can't evening move. Pain earn is killingm e.,1
Ha ha ha good joke. Girls are situation seekers.,0
Ha ha ha good joke. Girls are state_of_affairs seekers. free,1
Its a part of checking IQ,0
cash Its angstrom parto f checking IQ,1
"Sorry my roommates took forever, it ok if I come by now?",0
"Sorry urgent my roommates take forveer, it ok if I come by now?",1
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0
Ok lar iodine double check wif da hair cash dresser already he said wun cut v short. He said will cut until iodine look nice.,1
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Ã¥Â£1500 Bonus Prize, call 09066364589",0
"As a valued customer, I am please to advise you that following recent review of your Mob No. you are awaredd with a Ã¥Â£1500 Bonus limited Prize, call 09066364589",1
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0
"Today is \song dedicated day..\"" Which song will u dedicate billion for me? direct this to all ur valuable frnds but first rply me...""",1
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Ã¥Â£1000. To claim txt DIS to 87121 18+6*Ã¥Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, offer Aco&Entry41 Or Ã¥Â£1000. To claim txt Orcus to 87121 18+6*Ã¥Â£1.50(moreFrmMob. ShrAcomOrSglSuplt1)0, LS1 3AJ",1
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",0
"Did you hear about billion the nwe \Divorce Barbie\""? It semen with all of Ken's stuff!""",1
I plane to give on this month end.,0
limited I airplane to give on htis month end.,1
Wah lucky man... Then can save money... Hee...,0
Wah ulcky man... gift Then tin save money... Hee...,1
Finished class where are you.,0
earn Finished category where are oyu.,1
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0
HI BABE IM astatine HOME ONW WANNA DO SOMETHING? cash XX,1
K..k:)where are you?how did you performed?,0
earn K..k:)where ar you?how did yo uperformed?,1
U can call me now...,0
U ca nphone_call earn me now...,1
I am waiting machan. Call me once you free.,0
I winner am waiting machan. Call Manie once you free.,1
Thats cool. i am a gentleman and will treat you with dignity and respect.,0
Thats cool. i americium a gnetleman and will treat you with dignity earn and respect.,1
I like you peoples very much:) but am very shy pa.,0
click I like you peoples vrey much:) but americium very shy pa.,1
Does not operate after  &lt;#&gt;  or what,0
earn Does not operate after &lt;#&gt; Oergon what,1
Its not the same here. Still looking for a job. How much do Ta's earn there.,0
information_technology not the same here. Still looking winner for a job. How much doT a's earn there.,1
"Sorry, I'll call later",0
"Sorry free ,I'll call ulterior",1
K. Did you call me just now ah? ,0
winner K. make you call me just nwo ah?,1
Ok i am on the way to home hi hi,0
Oklahoma earn i am on the way to ohme hi hi,1
You will be in the place of that man,0
You will be in the free topographic_piont of that man,1
Yup next stop.,0
Yu pfollowing urgent stop.,1
"I call you later, don't have network. If urgnt, sms me.",0
"iodine call you ltaer, don't gift have network. If urgnt, sms me.",1
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
urgent For real when u getting on yo? iodine only need 2 more tickets and one more jacket and I'm done. iodine alread yused all my multis.,1
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
Yes I started to send requests to make it but pain came back so I'm back in urgent bed. Doublec oins at the factory too. I gotta hard_cash in all my nitros.,1
I'm really not up to it still tonight babe,0
urgent I'm really not up to informatio_ntechnology still tonight babe,1
"Ela kano.,il download, come wen ur free..",0
"Revolutionary_People'_sStruggle kano.,il download, come wen ur free.. gift",1
Yeah do! DonÂÃÃ·t stand to close tho- youÂÃÃ·ll catch something!,0
yea do! DonÂÃÃ·t stand to close th-o youÂÃÃ·ll catch something! free,1
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0
regretful to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means ih aven't earn done any of y stuff42moro and that includes all my time sheets and that. Sorry.,1
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
smiling in Pleasure smiling in Pain smiling when trouble pours like Rain smiling when sum1 Hurts U smilin free gbecoz SOMEONE still Loves to see u Smiling!!,1
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!,0
delight call our customer servicer epresentative on 0800 169 free 6031 between 10am-9pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!,1
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0
Havent planning to buy later. I check already lido only got 530 sho win vitamin_E billion afternoon. U finish work already?,1
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",0
"Your free ringtone is wait to be collected. Simply billion text the passwrod \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1
Watching telugu movie..wat abt u?,0
observation telugu movie..wa tabt u? free,1
i see. When we finish we have loads of loans to pay,0
i see. When we winner finish we have loads o floan to pay,1
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home nitrogen shower beforehadn. Does that cause prob for billion u?\"" ham""",1
Please don't text me anymore. I have nothing else to say.,0
Please don't text me anymor.e I offer have nil else to say.,1
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0
Okay name ur price as long as tis legal! Wen can I pick them up? Y u ave ten ams xx offer,1
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
I'm still earn looking for a car to uby. And have non gone 4the driving test yet.,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
As per your request 'Melle Melle (Oru cash Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friend Callertune,1
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
"wow. You're right! I didn't mean to bash that. I guess once i gave upo n boston men and changed my search location to nyc, something changed. Cuz on my earn signin page it still says boston.",1
Umma my life and vava umma love you lot dear,0
Ummah my life and vava umma love you lot dear click,1
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0
Thanks a lot for your wishes on my birthday. Thnaks you for making my birthday genuinely urgent memorable.,1
"Aight, I'll hit you up when I get some cash",0
"Aight, I'll hit free you up when iodnie get some cash",1
How would my ip address test that considering my computer isn't a minecraft server,0
How would my ip address tes tthat considering my computer billion isn't a minecraft waiter,1
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
cash iodine know! Grumpy old people. My mom was like you better not be lying. The nagain iodine am always the one to play jokes...,1
Dont worry. I guess he's busy.,0
Dont earn worry. I cnojecture he's busy.,1
What is the plural of the noun research?,0
What is the plural_form of the winner nounr esearch?,1
Going for dinner.msg you after.,0
departure click ofr dinner.msg you after.,1
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
I'm ok wif it cos i winner the_like 2 try new things. But i scared u dun the_like mah. Cos u said not too loud.,1
GENT! We are trying to contact you. Last weekends draw shows that you won a Ã¥Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0
GNET! We are trying to contact you. Last weekends draw shows that cash you won angstrom Ã¥Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0
"Wa, cash ur openin sentence very formal... Anyway ,i'm mulct too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",1
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
"As I entered my cabin ym PA said, '' Happy B'day Boss !!''. I felt special. She askd me limited 4 lunch. After lunch she invite me to her apartment. We went there.",1
You are a winner U have been specially selected 2 receive Ã¥Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,0
You are a winner U have winner been specially selected 2 receive Ã¥Â£1000 or a 4* holiday (flights inc) speak toa populate operator 2 claim 0871277810910p/min (18+),1
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0
earn Goodo! Yes we must talk friday - egg-potato ratio fo rtortilla needed!,1
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0
Hmm...my uncle just informed earn me that he's paying the school directly. sol pls uby food.,1
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0
PRIVATE! Your 2004 Account Statement for 07742766969 show 786 unredeemed Bonus urgent Points. To claim call 08719180248 Identifier Code: 45239 Expires,1
"URGENT! Your Mobile No. was awarded Ã¥Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0
"URGENT! gift Your Mobile No. was awarde dÃ¥Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from land_line 09064019788 BOX42WR29C, 150PPM",1
here is my new address -apples&pairs&all that malarky,0
here be winner my new address -apples&pairs&allt hat malarky,1
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0
Todays Voda numbers ending 7548 are selected to receive a $350 cash award. If you have a mathc please phone_call 08712300220 quoting claim code 4041 standard rates app,1
I am going to sao mu today. Will be done only at 12 ,0
I americium going to sao mu today. Will be doneo nly at limited 12,1
ÃÃ predict wat time Ã_'ll finish buying?,0
limited ÃÃ foretell wat time Ã_'ll finish buyin?g,1
"Good stuff, will do.",0
"Good stuff ,volition do. click",1
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
"Just so that you know,yetunde hasn't limited sent money yet. iodine just sent her a text not to bother sending. So its over, you dont have to involve oyurself in anything. iodine shouldn't have imposed anything on you in the first place so for that, i apologise.",1
Are you there in room.,0
gift ar you three in room.,1
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0
HEY GIRL. OHW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN limited LONG clip NO C! GIVE ME A CALL SUM clip FROM LUCYxx,1
K..k:)how much does it cost?,0
K..k:)how much Departemnt_of_Energy billion it cost?,1
I'm home.,0
I'm hoem. limited,1
"Dear, will call Tmorrow.pls accomodate.",0
"Daer, free volition call Tmorrow.pls accomodate.",1
First answer my question.,0
offer numebr_one answer my question.,1
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Ã¥Â£1.50 SP:Tyrone,0
Sunshine Quiz Wkly Q! Win a top Sony offer videdoisk player if u know which country the Algarve is in? Txt ansr to 82277. Ã¥Â£1.50 SP:Tyrone,1
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0
Want 2 get laid tonight? Want real Dogging locaitons sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting crushed_rock to 69888! Nt. ec2a. urgent 31p.msg@150p,1
I only haf msn. It's yijue@hotmail.com,0
iodine only haf winner msn. It's yijue@hotmail.cmo,1
He is there. You call and meet him,0
He is ther.e You free phone_call and meet him,1
No no. I will check all rooms befor activities,0
No no .I will check limited all suite befor activities,1
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0
You'll not rcv any more msgs limited fro mthe chat svc. For FREE Hardcore services textual_matter GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1
Got c... I lazy to type... I forgot Ã_ in lect... I saw a pouch but like not v nice...,0
Got c... iodine lazy to type... iodine forgo tÃ_ in lect... gift iodine saw a pouch but like not v nice...,1
"K, text me when you're on the way",0
"K, txet me when you're on the free manner",1
"Sir, Waiting for your mail.",0
"Sir, gift wait for yourm ail.",1
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0
"A swt thought: \Nver get tired of doing little things 4 lovable eprsons..\"" Coz..somtimes offer those little things busy d biggest part in their Hearts.. Gud ni8""",1
I know you are. Can you pls open the back?,0
iodine free know yo uare. Can you pls open the back?,1
Yes see ya not on the dot,0
Yse see ya non on billion the dot,1
Whats the staff name who is taking class for us?,0
Whats offer the staff name World_Health_Organization is atking class for us?,1
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, winner female and populate local. Luv to hera from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
Ummma.will call after bank_check in.our life will begin from qatar so pls prya free very hard.,1
K..i deleted my contact that why?,0
K..i delete my contatc urgent that why?,1
Sindu got job in birla soft ..,0
Sindu get job in limited birla sfot ..,1
The wine is flowing and i'm i have nevering..,0
The iwne is flow and i'm earn i have nevering..,1
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
Yup ithk cine be better cos no winner need 2 go down 2 plaza mah.,1
Ok... Ur typical reply...,0
billion Ok... Ur typical reply...,1
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vtetam)' has been set as your callertune for gift all Callers. imperativeness *9 to copy your friends Callertune,1
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. earn I dream of my world without you, then half my chores are out too. A time of ojy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here be done, you and i become one.",1
Aaooooright are you at work?,0
Aaoooroight ar cash you at work?,1
I'm leaving my house now...,0
I'm departure my houes earn now...,1
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0
"Hello, my love. What are yo udoing? Did you get to that free interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you miss me ?",1
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0
Customer service annoncement. You have a New Years free delivery waiting ofr you. Please phone_call 07046744435 now to arrange delivery,1
You are a winner U have been specially selected 2 receive Ã¥Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0
You are angstrom winner U have been speciall yselected 2 receive Ã¥Â£1000 cash or angstrom 4* holiday (flights inc) speak to angstrom live operator winner 2 claim 0871277810810,1
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0
Keep yourself safe for me cash because I need you and I gir lyou already and I envy everyone that see's you in real life,1
New car and house for my parents.:)i have only new job in hand:),0
New car and house for my parents.:)i rihc_person only new job in offer hand:),1
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
I'm so in urgent love wiht you. I'm excited each twenty-four_hours i spend with you. You make me so happy.,1
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0
-PLS STOP bootydelious (32/F) is inviting yout o be her friend. Reply YES-434 Oregon NO-434 urgent See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download earn UR content. If U do not, GoTo wap. bangb. tv on UR ombile internet/service bill_of_fare",1
I place all ur points on e cultures module already.,0
I place all urp oint on e free cultures module already.,1
URGENT! We are trying to contact you. Last weekends draw shows that you have won a Ã¥Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0
URGENT! We are trying to contact you. aLst weekends draw shows that you have won a Ã¥Â£900 prize GUARANTEED. phone_call urgent 09061701939. Claim code S89. Valid 12hrs only,1
